"subject","age","ageGroup","gender","musicAllYears","musicFormal"
"A01_PRE",26,"Age_22_29","F",0,0
"A02_PRE",20,"Age_18_21","F",0,0
"A03_PRE",22,"Age_22_29","F",4,0
"A04_PRE",22,"Age_22_29","F",0.5,0
"A05_PRE",23,"Age_22_29","F",0,0
"A07_PRE",22,"Age_22_29","M",0,0
"A08_PRE",18,"Age_18_21","M",4,0
"A09_PRE",25,"Age_22_29","M",3,0
"A11_PRE",26,"Age_22_29","F",1,0
"A12_PRE",20,"Age_18_21","F",0,0
"A13_PRE",20,"Age_18_21","F",1.5,1.5
"A15_PRE",24,"Age_22_29","F",0,0
"A16_PRE",20,"Age_18_21","M",0,0
"A17_PRE",24,"Age_22_29","M",0,0
"A18_PRE",19,"Age_18_21","M",5,0
"A19_PRE",18,"Age_18_21","M",0,0
"A22_PRE",26,"Age_22_29","F",0,0
"A23_PRE",20,"Age_18_21","F",2,1
"A24_PRE",24,"Age_22_29","F",2,2
"A25_PRE",22,"Age_22_29","F",0,0
"A28_PRE",26,"Age_22_29","M",5,1
"A29_PRE",20,"Age_18_21","F",0,0
"A30_PRE",19,"Age_18_21","F",0,0
"A31_PRE",25,"Age_22_29","F",2,1.5
"A32_PRE",21,"Age_18_21","F",0,0
"A33_PRE",24,"Age_22_29","M",0,0
"A34_PRE",21,"Age_18_21","F",0,0
"A35_PRE",22,"Age_22_29","M",2,0
"A36_PRE",22,"Age_22_29","M",4,0
"A37_PRE",19,"Age_18_21","M",1,0
"A38_PRE",18,"Age_18_21","F",0,0
"A39_PRE",22,"Age_22_29","F",0,0
"A40_PRE",26,"Age_22_29","F",0,0
"A41_PRE",19,"Age_18_21","F",3,1
"A42_PRE",30,"Age_30_54","M",0,0
"A43_PRE",19,"Age_18_21","F",4,0
"A44_PRE",23,"Age_22_29","F",0,0
"A45_PRE",22,"Age_22_29","F",1.25,1
"A46_PRE",22,"Age_22_29","M",0,0
"A47_PRE",21,"Age_18_21","F",0,0
"A48_PRE",20,"Age_18_21","F",0,0
"A50_PRE",20,"Age_18_21","F",0,0
"A51_PRE",23,"Age_22_29","M",0,0
"A52_PRE",23,"Age_22_29","F",2.16666666666667,0
"A53_PRE",18,"Age_18_21","M",0,0
"A54_PRE",20,"Age_18_21","F",0,0
"A55_PRE",24,"Age_22_29","F",0.333333333333333,0
"A56_PRE",18,"Age_18_21","M",4,4
"A57_PRE",20,"Age_18_21","M",0.25,0.25
"A58_PRE",21,"Age_18_21","F",1,0
"A61_PRE",24,"Age_22_29","F",8,0
"A62_PRE",25,"Age_22_29","F",3,0
"A63_PRE",28,"Age_22_29","F",0,0
"A64_PRE",20,"Age_18_21","F",9,4
"A65_PRE",19,"Age_18_21","F",2,2
"A67_PRE",22,"Age_22_29","M",1,0
"A71_PRE",18,"Age_18_21","M",0,0
"B02_PRE",33,"Age_30_54","F",4,0
"B03_PRE",38,"Age_30_54","F",0,0
"B04_PRE",31,"Age_30_54","F",4,0
"B05_PRE",34,"Age_30_54","F",0,0
"B06_PRE",35,"Age_30_54","M",3,0
"B09_PRE",33,"Age_30_54","M",0.5,0
"B12_PRE",32,"Age_30_54","F",0,0
"B13_PRE",34,"Age_30_54","F",0,0
"B14_PRE",39,"Age_30_54","F",1,1
"B15_PRE",34,"Age_30_54","F",2,0
"B18_PRE",31,"Age_30_54","M",0,0
"B21_PRE",37,"Age_30_54","F",0.03,0.01
"B23_PRE",39,"Age_30_54","F",4,0
"B24_PRE",32,"Age_30_54","F",5,0
"C01_PRE",49,"Age_30_54","F",0,0
"C02_PRE",41,"Age_30_54","F",5,0
"C03_PRE",45,"Age_30_54","F",0,0
"C06_PRE",50,"Age_30_54","M",0,0
"C07_PRE",46,"Age_30_54","M",10,0
"C08_PRE",47,"Age_30_54","M",0,0
"C09_PRE",43,"Age_30_54","M",1,0
"C11_PRE",42,"Age_30_54","F",0,0
"D01_PRE",54,"Age_30_54","F",0,0
"D02_PRE",59,"Age_55_87","F",0,0
"D03_PRE",56,"Age_55_87","F",1,0
"D06_PRE",55,"Age_55_87","M",0,0
"D07_PRE",52,"Age_30_54","M",0,0
"D08_PRE",59,"Age_55_87","M",0,0
"D11_PRE",57,"Age_55_87","F",0.25,0.25
"D12_PRE",57,"Age_55_87","F",19.5,1.5
"D16_PRE",51,"Age_30_54","M",2,0
"E01_PRE",65,"Age_55_87","F",0,0
"E02_PRE",66,"Age_55_87","F",0,0
"E03_PRE",69,"Age_55_87","F",0,0
"E05_PRE",62,"Age_55_87","F",0,0
"E11_PRE",66,"Age_55_87","F",3,3
"E12_PRE",70,"Age_55_87","F",5,2
"E13_PRE",66,"Age_55_87","F",0,0
"E14_PRE",65,"Age_55_87","F",2,0
"E15_PRE",68,"Age_55_87","F",0,0
"F01_PRE",74,"Age_55_87","F",0,0
"F02_PRE",72,"Age_55_87","F",0,0
"F03_PRE",71,"Age_55_87","F",0,0
"F06_PRE",82,"Age_55_87","M",0,0
"F07_PRE",87,"Age_55_87","M",0,0
"F08_PRE",72,"Age_55_87","M",3,0
"F11_PRE",80,"Age_55_87","F",1,0
"F12_PRE",71,"Age_55_87","F",0.0833333333333333,0
"F13_PRE",80,"Age_55_87","F",0,0
"F14_PRE",74,"Age_55_87","F",10.25,0
"FORMER_PRE",62,"Age_55_87","F",2,0
