True,name,0,1,2,3,4
0,idx,0,1,2,3,4
1,loss_null,0.7394,0.6865,1.0624,0.7709,0.6051
2,loss_alternative,0.4432,0.4941,0.5808,0.447,0.3978
3,p_loss,0.0,0.0,0.0,0.0,0.0
4,sig_loss,Yes,Yes,Yes,Yes,Yes
5,corr_null,0.2313,0.2509,0.2916,0.2684,0.2832
6,corr_alternative,0.7044,0.5866,0.687,0.6748,0.6123
7,p_corr,0.0,0.0,0.0,0.0,0.0
8,sig_corr,Yes,Yes,Yes,Yes,Yes
9,r2_null,0.0215,0.0245,0.0432,0.0371,0.0432
10,r2_alternative,0.4354,0.3217,0.4526,0.4208,0.3483
11,p_r2,0.0,0.0,0.0,0.0,0.0
12,sig_r2,Yes,Yes,Yes,Yes,Yes
