True,name,0,1,2,3,4
0,idx,0,1,2,3,4
1,loss_null,0.914,1.0392,0.9176,1.0716,0.9951
2,loss_alternative,0.3271,0.3887,0.2946,0.3068,0.4667
3,p_loss,0.0,0.0,0.0,0.0,0.0
4,sig_loss,Yes,Yes,Yes,Yes,Yes
5,corr_null,0.1673,0.1769,0.1466,0.1789,0.175
6,corr_alternative,0.8423,0.7979,0.8588,0.8024,0.7587
7,p_corr,0.0,0.0,0.0,0.0,0.0
8,sig_corr,Yes,Yes,Yes,Yes,Yes
9,r2_null,-0.0246,-0.043,-0.0435,-0.0117,-0.039
10,r2_alternative,0.6875,0.6034,0.7063,0.622,0.5407
11,p_r2,0.0,0.0,0.0,0.0,0.0
12,sig_r2,Yes,Yes,Yes,Yes,Yes
