True,name,0,1,2,3,4
0,loss_null,0.968,0.94,0.9086,0.9405,0.9386
1,loss_alternative,0.3111,0.2818,0.282,0.3379,0.3781
2,loss_pvalue,1.84E-44,3.44E-39,1.57E-37,1.36E-26,7.49E-30
3,is_loss_sig,Yes,Yes,Yes,Yes,Yes
4,corr_null,0.1953,0.2371,0.1867,0.2001,0.2209
5,corr_alternative,0.8355,0.8499,0.8499,0.7925,0.7892
6,corr_pvlue,1.17E-67,6.13E-66,2.25E-75,4.30E-62,2.01E-63
7,is_corr_sig,Yes,Yes,Yes,Yes,Yes
8,r2_null,-0.0139,-0.0086,-0.0124,-0.0183,-0.0084
9,r2_alternative,0.6689,0.6624,0.6991,0.5925,0.5659
10,r2_pvalue,1.98E-61,1.77E-36,2.99E-65,2.26E-48,2.16E-47
11,is_r2_sig,Yes,Yes,Yes,Yes,Yes
