True,name,0,1,2,3,4
0,loss_null,1.473,1.3054,1.265,1.2834,1.1919
1,loss_alternative,0.8781,1.3356,1.4035,0.8821,1.1935
2,loss_pvalue,1.82E-04,5.58E-01,7.17E-01,1.75E-07,5.03E-01
3,is_loss_sig,Yes,No,No,Yes,No
4,corr_null,-0.0326,-0.0246,0.0342,0.0308,-0.0026
5,corr_alternative,0.4271,0.1663,0.1546,0.4119,0.4305
6,corr_pvlue,1.71E-40,1.24E-10,1.14E-03,2.48E-31,4.20E-38
7,is_corr_sig,Yes,Yes,Yes,Yes,Yes
8,r2_null,-0.5429,-0.4356,-0.4394,-0.3306,-0.26
9,r2_alternative,0.0194,-0.4552,-0.3221,0.0139,-0.2805
10,r2_pvalue,6.37E-05,5.32E-01,2.60E-01,7.40E-09,5.34E-01
11,is_r2_sig,Yes,No,No,Yes,No
