name,BAT_all_dprime,BAT_fast_dprime,BAT_med_dprime,BAT_slow_dprime,BAT_all_hits,BAT_fast_hits,BAT_med_hits,BAT_slow_hits,BAT_all_fa,BAT_fast_fa
0,idx,0,1,2,3,4,5,6,7,8,9
1,loss,0.751668872932593,0.2886785219113032,0.7980519930521647,0.37404865026474,311.06947835286456,165.89861043294272,231.2037607828776,330.1793696085612,88.06415049235027,290.77239354451496
2,p_loss,0.25,0.0,0.85,0.15,0.9,0.05,0.1,0.7,0.55,0.8
3,sig_loss,No,Yes,No,No,No,Yes,No,No,No,No
4,corr,0.2996641520671519,0.673286810256491,0.6085669693281789,0.49508532997767835,0.15371419882420548,0.26528097377212295,0.4992404255660487,0.26401003397132505,0.20884257094738012,0.11435502880859229
5,p_corr,0.2,0.0,0.0,0.0,0.4,0.35,0.0,0.25,0.45,0.75
6,sig_corr,No,Yes,Yes,Yes,No,No,Yes,No,No,No
7,r2,0.07372236957433087,0.4305048211789442,0.28912353273029223,0.1765559935720642,-0.07913098482336811,-0.13463569679956788,0.24289620370889486,-0.001170650278874863,-0.014499028990142993,-0.06445221793420419
8,p_r2,0.1,0.0,0.0,0.0,0.2,0.6,0.0,0.2,0.7,0.9
9,sig_r2,No,Yes,Yes,Yes,No,No,Yes,No,No,No
