label,BAT_all_dprime,BAT_fast_dprime,BAT_med_dprime,BAT_slow_dprime,BAT_all_hits,BAT_fast_hits,BAT_med_hits,BAT_slow_hits,BAT_all_fa,BAT_fast_fa,BAT_med_fa,BAT_slow_fa,DurDisc_threshold,Anisochrony_tones_threshold,Anisochrony_music_threshold,Unpaced_spontaneous_right_CV_iti,Unpaced_spontaneous_final_right_CV_iti,Unpaced_fast_CV_iti,Unpaced_slow_CV_iti,Unpaced_spontaneous_right_mean_iti,Unpaced_spontaneous_final_right_mean_iti,Unpaced_fast_mean_iti,Unpaced_slow_mean_iti,Paced_metro_450_mean_CV_iti,Paced_metro_450_vecDirPct,Paced_metro_450_mean_vector_direction,Paced_metro_450_vecLenLogit,Paced_metro_600_mean_CV_iti,Paced_metro_600_vecDirPct,Paced_metro_600_mean_vector_direction,Paced_metro_600_vecLenLogit,Paced_metro_750_mean_CV_iti,Paced_metro_750_vecDirPct,Paced_metro_750_mean_vector_direction,Paced_metro_750_vecLenLogit,Paced_music_badine_mean_CV_iti,Paced_music_badine_vecDirPct,Paced_music_badine_mean_vector_direction,Paced_music_badine_vecLenLogit,Paced_music_ross_mean_CV_iti,Paced_music_ross_vecDirPct,Paced_music_ross_mean_vector_direction,Paced_music_ross_vecLenLogit,Adaptive_adaptation_index_acceleration,Adaptive_adaptation_index_deceleration,Adaptive_iso_600_CV_iti,Adaptive_minus_30_dprime2,Adaptive_minus_75_dprime2,Adaptive_plus_30_dprime2,Adaptive_plus_75_dprime2,SyncCont_metro_450_mean_CV_iti,SyncCont_metro_600_mean_CV_iti,SyncCont_metro_750_mean_CV_iti,SyncCont_metro_450_mean_mean_iti,SyncCont_metro_600_mean_mean_iti,SyncCont_metro_750_mean_mean_iti
0,idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,loss,0.817,0.5436,0.4112,0.6577,109.3148,320.2263,204.2815,226.4738,76.9371,335.0146,142.1818,25.7502,184.6789,23.4513,65.2002,0.0006,0.0004,0.0009,0.0045,26998.589,18256.2305,25350.5828,158518.8021,0.0003,30.4071,472.6577,0.3298,0.0003,16.5693,419.4794,0.3351,0.0003,17.6244,164.1229,0.284,0.0007,16.5255,280.0927,1.1384,0.0006,21.8604,379.7977,1.5219,0.2456,0.1418,0.0005,0.493,0.1736,0.5381,0.4221,0.0004,0.0017,0.0186,1918.3062,3177.5267,4082.0773
2,p_loss,0.462,0.312,0.14,0.719,0.008,0.52,0.149,0.415,0.566,0.912,0.935,0.183,0.519,0.394,0.786,0.521,0.418,0.525,0.651,0.433,0.7,0.906,0.789,0.262,0.274,0.144,0.286,0.442,0.109,0.471,0.095,0.247,0.399,0.135,0.042,0.44,0.297,0.423,0.274,0.282,0.056,0.149,0.152,0.801,0.475,0.532,0.134,0.191,0.259,0.737,0.39,0.956,0.976,0.695,0.629,0.233
3,sig_loss,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,corr,0.4811,0.5301,0.5322,0.4425,0.3782,0.2227,0.3122,0.4296,0.2769,0.2933,0.4014,0.6205,0.0969,0.5654,0.267,0.256,0.4871,0.3656,0.4636,0.4252,0.3341,-0.2817,0.1215,0.4523,0.3774,0.5291,0.7444,0.2996,0.3597,0.7115,0.3904,0.258,0.0576,0.505,0.8105,0.2682,0.1848,0.4056,0.3783,0.3848,0.2652,0.3343,0.4775,0.1201,0.3446,0.1629,0.5382,0.6408,0.7205,0.3822,0.2779,0.5255,0.183,0.2623,-0.0338,0.333
5,p_corr,0.071,0.029,0.04,0.104,0.116,0.355,0.179,0.052,0.361,0.317,0.154,0.017,0.705,0.009,0.351,0.612,0.147,0.339,0.149,0.049,0.151,0.995,0.566,0.169,0.136,0.032,0.0,0.517,0.205,0.001,0.158,0.608,0.817,0.042,0.0,0.591,0.612,0.125,0.181,0.288,0.404,0.214,0.062,0.763,0.282,0.823,0.033,0.007,0.001,0.178,0.55,0.088,0.745,0.28,0.843,0.16
6,sig_corr,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
7,r2,0.2244,0.2589,0.2704,0.1651,0.1023,-0.0221,0.0333,0.1513,0.0013,0.07,0.0837,0.3362,-0.0312,0.2653,0.0561,-2.4216,-0.8874,-2.0785,0.1126,-0.4338,0.0428,-0.2645,0.0005,-0.7173,0.1164,0.2247,0.3704,-2.9613,0.0633,0.4132,0.1213,-0.2984,-0.0204,0.1679,0.6477,-2.0461,-0.033,0.0694,0.1362,-0.9045,0.0276,0.0804,0.202,-0.031,0.0611,-2.3767,0.2407,0.3642,0.4461,0.104,-0.5749,-15.5785,-95.8247,-2.1658,-12.8587,-2.0766
8,p_r2,0.046,0.016,0.017,0.081,0.072,0.213,0.157,0.03,0.58,0.183,0.163,0.007,0.547,0.007,0.267,0.674,0.294,0.792,0.072,0.867,0.09,0.86,0.256,0.169,0.086,0.011,0.006,0.556,0.263,0.0,0.141,0.044,0.676,0.042,0.0,0.625,0.889,0.127,0.108,0.487,0.393,0.099,0.041,0.511,0.29,0.701,0.025,0.006,0.0,0.124,0.157,0.965,0.973,0.174,0.907,0.238
9,sig_r2,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
