True,name,BAT_all_dprime,BAT_fast_dprime,BAT_med_dprime,BAT_slow_dprime,BAT_all_hits,BAT_fast_hits,BAT_med_hits,BAT_slow_hits,BAT_all_fa,BAT_fast_fa,BAT_med_fa,BAT_slow_fa,DurDisc_threshold,Anisochrony_tones_threshold,Anisochrony_music_threshold,Unpaced_spontaneous_right_CV_iti,Unpaced_spontaneous_final_right_CV_iti,Unpaced_fast_CV_iti,Unpaced_slow_CV_iti,Unpaced_spontaneous_right_mean_iti,Unpaced_spontaneous_final_right_mean_iti,Unpaced_fast_mean_iti,Unpaced_slow_mean_iti,Paced_metro_450_mean_CV_iti,Paced_metro_450_vecDirPct,Paced_metro_450_mean_vector_direction,Paced_metro_450_vecLenLogit,Paced_metro_600_mean_CV_iti,Paced_metro_600_vecDirPct,Paced_metro_600_mean_vector_direction,Paced_metro_600_vecLenLogit,Paced_metro_750_mean_CV_iti,Paced_metro_750_vecDirPct,Paced_metro_750_mean_vector_direction,Paced_metro_750_vecLenLogit,Paced_music_badine_mean_CV_iti,Paced_music_badine_vecDirPct,Paced_music_badine_mean_vector_direction,Paced_music_badine_vecLenLogit,Paced_music_ross_mean_CV_iti,Paced_music_ross_vecDirPct,Paced_music_ross_mean_vector_direction,Paced_music_ross_vecLenLogit,Adaptive_adaptation_index_acceleration,Adaptive_adaptation_index_deceleration,Adaptive_iso_600_CV_iti,Adaptive_minus_30_dprime2,Adaptive_minus_75_dprime2,Adaptive_plus_30_dprime2,Adaptive_plus_75_dprime2,SyncCont_metro_450_mean_CV_iti,SyncCont_metro_600_mean_CV_iti,SyncCont_metro_750_mean_CV_iti,SyncCont_metro_450_mean_mean_iti,SyncCont_metro_600_mean_mean_iti,SyncCont_metro_750_mean_mean_iti
0,idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,loss_null,0.8566,0.6576,0.6687,0.6535,272.4736,344.9268,368.167,318.4518,74.6306,213.6313,69.7371,74.0356,190.7311,24.3524,52.3391,0.0394,0.0144,0.0068,0.0047,33507.3209,17569.8018,15975.5924,143135.4362,0.0005,36.8787,720.317,0.4277,0.0576,27.608,463.4012,0.6312,0.0091,21.814,272.7704,0.8183,0.0886,22.5991,437.3177,1.6769,0.0134,35.4442,684.4974,2.2511,0.2567,0.1554,0.0132,0.6737,0.2906,0.7338,0.5201,0.0049,0.0015,0.0019,2779.3747,5913.7474,7083.0059
2,loss_alternative,0.6864,0.627,0.5471,0.4562,210.8729,246.7879,259.3026,209.9679,74.848,189.1563,64.4771,71.2529,195.1706,19.2274,44.9411,0.0062,0.0233,0.011,0.0036,32875.757,14724.2203,17136.1268,120517.7085,0.0063,29.5413,584.557,0.3251,0.0083,23.6171,358.9146,0.6203,0.0285,18.5715,235.6266,0.5948,0.0047,19.0147,372.3651,1.4416,0.0384,34.1874,622.263,1.8287,0.1972,0.1531,0.0139,0.6343,0.1998,0.571,0.3893,0.0083,0.0091,0.0008,2938.5741,5652.3049,5242.6099
3,p_loss,0.0,0.31,0.004,0.003,0.003,0.0,0.0,0.0,0.519,0.018,0.188,0.351,0.668,0.0,0.0,0.183,0.677,0.668,0.058,0.408,0.045,0.882,0.006,0.88,0.0,0.0,0.0,0.189,0.0,0.0,0.475,0.794,0.006,0.003,0.011,0.085,0.002,0.052,0.022,0.85,0.216,0.065,0.0,0.117,0.447,0.518,0.118,0.005,0.016,0.165,0.705,0.876,0.215,0.573,0.444,0.09
4,sig_loss,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
5,corr_null,0.236,0.2359,0.2161,0.1813,0.1437,0.1739,0.1664,0.1851,0.2031,0.2036,0.2306,0.224,0.1928,0.189,0.2064,0.3204,0.3111,0.3061,0.314,0.1641,0.1477,0.1454,0.1124,0.2942,0.2228,0.2126,0.2029,0.2875,0.1911,0.2187,0.1995,0.2961,0.2006,0.205,0.2432,0.3089,0.2384,0.1963,0.2393,0.3242,0.2347,0.2077,0.2323,0.231,0.2775,0.3129,0.2475,0.25,0.2013,0.2078,0.3102,0.303,0.2982,0.1296,0.1068,0.149
6,corr_alternative,0.4781,0.4115,0.4221,0.4917,0.4059,0.4378,0.3901,0.3492,0.3368,0.2827,0.3519,0.3801,0.2445,0.5205,0.4096,0.3361,0.3035,0.3348,0.3394,0.2173,0.3639,0.1086,0.2193,0.3429,0.5008,0.433,0.4434,0.3253,0.4773,0.4023,0.5617,0.3402,0.3736,0.337,0.5202,0.3136,0.4196,0.386,0.3303,0.2975,0.2934,0.2821,0.4754,0.1898,0.4172,0.3347,0.3456,0.353,0.453,0.4237,0.3096,0.3304,0.3371,0.2867,0.159,0.2386
7,p_corr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.242,0.629,0.085,0.141,0.021,0.0,0.906,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.421,0.0,0.0,0.0,0.878,0.006,0.0,0.0,0.971,0.0,0.189,0.0,0.0,0.0,0.0,0.51,0.101,0.041,0.0,0.017,0.0
8,sig_corr,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
9,r2_null,-0.0162,-0.0081,-0.1199,-0.2062,-0.4697,-0.4361,-0.3486,-0.6697,0.0107,0.0071,0.028,-0.001,-0.0564,-0.0433,0.0079,-208.201,-40.894,-23.8305,-1.7469,-0.145,-0.3869,-0.0977,-0.2586,-2.4743,0.0054,-0.0043,-0.0876,-353.6207,0.0092,0.0101,-0.1511,-76.9793,0.0141,0.0045,-0.2286,-387.9094,0.0297,0.0002,-0.068,-42.4737,0.0175,0.0056,-0.0055,-0.2743,-0.0875,-53.4629,-0.0217,-0.6067,-0.1633,-1.4878,-33.0268,-11.3179,-15.4406,-6.8341,-15.6358,-4.7109
10,r2_alternative,0.1672,-0.0333,0.0667,0.0936,-0.126,0.0829,-0.0135,-0.1643,0.0947,0.056,0.0992,0.1439,-0.0791,0.2388,0.1313,-16.4088,-167.6479,-33.0598,-1.5148,-0.1938,-0.1494,-0.1692,-0.148,-43.1168,0.221,0.1573,0.1292,-96.3273,0.2023,0.1716,0.0119,-138.8396,0.1247,0.113,0.0375,-18.1849,0.1506,0.1031,0.0263,-87.6312,0.048,0.0438,0.1694,-0.059,-0.0745,-66.7058,0.0665,-0.0511,0.1051,-0.3496,-42.893,-61.1797,-6.6291,-8.5752,-11.4927,-3.4773
11,p_r2,0.0,0.585,0.017,0.015,0.012,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.677,0.0,0.0,0.156,0.862,0.61,0.27,0.755,0.014,0.95,0.063,0.872,0.0,0.0,0.0,0.226,0.0,0.0,0.211,0.708,0.0,0.0,0.106,0.085,0.0,0.0,0.054,0.761,0.006,0.0,0.0,0.141,0.462,0.574,0.005,0.072,0.012,0.076,0.597,0.877,0.224,0.749,0.215,0.185
12,sig_r2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
